aahed,0.013545
aalii,0.000000
aargh,0.006663
aaron,4.624621
abaca,0.105969
abaci,0.038189
aback,1.189204
abada,0.011174
abaft,0.109877
abaka,0.006759
abamp,0.000000
aband,0.003714
abase,0.073678
abash,0.020636
abask,0.000000
abate,0.740083
abbas,0.993289
abbey,4.744804
abbes,0.047829
abbie,0.366864
abbot,3.177538
abdal,0.051801
abdom,0.025520
abeam,0.091889
abear,0.004670
abele,0.063138
abend,0.142897
aberr,0.001213
abets,0.048479
abhor,0.439976
abide,2.910470
abies,0.236161
abyes,0.000000
abime,0.039485
abysm,0.017731
abyss,2.072307
abled,0.041114
abler,0.177470
ables,0.054005
ablet,0.001558
ablow,0.007373
abmho,0.000000
abner,0.711356
abnet,0.000892
abode,2.511747
abohm,0.000599
aboil,0.005161
aboma,0.000797
aboon,0.012352
abord,0.266025
abort,0.871397
about,963.500775
above,198.397165
abray,0.004380
abram,1.012130
abrim,0.003120
abrin,0.017453
abris,0.007321
abrus,0.013850
absey,0.001677
absis,0.000650
absit,0.019435
abstr,1.202911
abuna,0.036155
abura,0.008328
abuse,27.181918
abuts,0.141307
abuzz,0.063118
acana,0.001681
acara,0.020121
acari,0.070305
acast,0.001673
acate,0.001697
accel,0.061604
accoy,0.000000
accra,0.838548
accts,0.048115
accum,0.036433
accus,0.018032
acerb,0.005914
aceta,0.002925
achar,0.037800
ached,1.280593
acher,0.026233
aches,0.956400
achoo,0.008649
achor,0.022226
acidy,0.005236
acids,20.197366
acier,0.047623
acies,0.026071
acing,0.015095
acini,0.278385
ackee,0.017667
ackey,0.000626
acker,0.247486
acmes,0.002212
acmic,0.000000
acned,0.004499
acnes,0.072762
acock,0.020787
acoin,0.000000
acold,0.001689
acoma,0.201766
acone,0.002303
acorn,0.610053
acred,0.014655
acres,14.215834
acrid,0.557551
acryl,0.013497
acron,0.010738
acrux,0.002192
acted,15.536954
actin,1.821784
acton,0.766753
actor,12.043742
actos,0.052792
actus,0.287585
acute,35.778339
adage,0.773816
adays,0.017160
adams,14.712133
adapa,0.027280
adapt,7.313351
adcon,0.002474
addax,0.011369
added,86.181807
adder,0.780634
addie,0.405691
addio,0.043889
addis,0.982479
addle,0.041594
addnl,0.000967
adeem,0.001756
adela,0.382229
adeps,0.004662
adept,2.050239
adiel,0.009105
adieu,0.840978
adion,0.005990
adios,0.137121
adyta,0.003100
adits,0.041130
adlai,0.390878
adman,0.030293
admen,0.022008
admin,1.053569
admit,18.203339
admix,0.011266
admov,0.000000
adobe,2.075379
adobo,0.022817
adolf,2.178307
adopt,14.070773
adore,1.178775
adorn,0.917205
adown,0.049082
adoxa,0.002386
adoze,0.000000
adrad,0.001015
adret,0.024834
adrip,0.001383
adsum,0.007512
